                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69918,                0.32081,                0.93364,                0.99793,                0.99848,                0.99395,                0.85764,                0.66649,                 0.2519,                0.92107,               0.008845,               0.008845,               0.008845
                     37,                0.69669,                0.31999,                0.93028,                 0.9981,                0.99854,                0.99408,                 0.8558,                0.67228,                0.25092,                0.92784,               0.008812,               0.008812,               0.008812
                     38,                0.69658,                0.31897,                0.93184,                0.99819,                0.99848,                0.99405,                0.85873,                0.66298,                0.24962,                0.92802,               0.008779,               0.008779,               0.008779
                     39,                 0.7022,                0.31893,                0.93798,                0.99816,                0.99841,                0.99414,                0.85906,                0.66333,                0.25089,                0.94331,               0.008746,               0.008746,               0.008746
                     40,                0.69115,                0.31446,                0.93307,                  0.998,                0.99854,                0.99389,                0.85991,                 0.6592,                0.24678,                0.92958,               0.008713,               0.008713,               0.008713
                     41,                0.69376,                0.31523,                0.93345,                0.99801,                0.99863,                0.99391,                0.86179,                0.65681,                 0.2446,                0.92973,                0.00868,                0.00868,                0.00868
                     42,                0.69195,                0.31373,                0.92987,                0.99815,                0.99841,                0.99383,                0.86281,                 0.6547,                0.24396,                0.92765,               0.008647,               0.008647,               0.008647
                     43,                0.69136,                0.31298,                0.92731,                0.99796,                0.99848,                0.99394,                0.86296,                0.65594,                0.24387,                0.92552,               0.008614,               0.008614,               0.008614
                     44,                0.69383,                0.31464,                0.94032,                0.99806,                0.99848,                0.99393,                0.86175,                0.65847,                 0.2451,                0.94258,               0.008581,               0.008581,               0.008581
                     45,                 0.6907,                0.31326,                0.94041,                0.99801,                0.99865,                0.99388,                0.86246,                0.65448,                0.24446,                0.94682,               0.008548,               0.008548,               0.008548
                     46,                0.68867,                0.31143,                0.93118,                0.99793,                0.99874,                0.99404,                0.86166,                0.65526,                 0.2429,                0.93614,               0.008515,               0.008515,               0.008515
                     47,                0.68617,                0.31282,                0.93133,                0.99803,                0.99881,                0.99409,                0.86281,                0.65686,                 0.2427,                0.93716,               0.008482,               0.008482,               0.008482
                     48,                0.68857,                0.31137,                0.93535,                0.99814,                0.99874,                0.99408,                0.86257,                0.65288,                0.24158,                0.93975,               0.008449,               0.008449,               0.008449
                     49,                0.68955,                0.31196,                0.93509,                0.99822,                0.99868,                0.99395,                 0.8622,                0.65623,                 0.2418,                0.94281,               0.008416,               0.008416,               0.008416
                     50,                0.68639,                0.31119,                0.93982,                0.99811,                0.99881,                0.99415,                 0.8628,                0.65555,                0.24174,                0.94805,               0.008383,               0.008383,               0.008383
                     51,                0.68541,                0.30964,                0.92817,                0.99815,                0.99875,                0.99401,                 0.8635,                0.65163,                 0.2404,                0.94067,                0.00835,                0.00835,                0.00835
                     52,                0.68732,                0.31038,                0.93717,                0.99816,                0.99861,                0.99397,                0.86326,                0.65504,                0.24084,                0.94414,               0.008317,               0.008317,               0.008317
                     53,                0.68126,                0.30814,                0.93303,                 0.9978,                0.99894,                0.99397,                0.86401,                0.65125,                0.23985,                0.94296,               0.008284,               0.008284,               0.008284
                     54,                0.68768,                0.30969,                0.93536,                0.99794,                0.99894,                0.99408,                0.86486,                0.64966,                0.23874,                  0.941,               0.008251,               0.008251,               0.008251
                     55,                0.68582,                0.30882,                 0.9322,                0.99788,                0.99884,                0.99402,                0.86519,                0.64935,                 0.2383,                0.93915,               0.008218,               0.008218,               0.008218
                     56,                0.68147,                0.30808,                0.93147,                0.99801,                0.99877,                0.99395,                0.86468,                0.64871,                0.23738,                0.93866,               0.008185,               0.008185,               0.008185
                     57,                0.68238,                0.30713,                0.92565,                0.99813,                0.99874,                0.99386,                0.86574,                0.64818,                0.23681,                0.93571,               0.008152,               0.008152,               0.008152
